# Fission Isotope Spectra
#  U235, Pu239, Pu241: Fit Extrapolation of reported Huber's spectra
#  U238: Fit Extrapolation of Muller spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    3.01       0.646765       0.870991       0.509718       0.636429
    3.02       0.642558        0.86601       0.504491       0.631892
    3.03       0.638379       0.861058       0.499317       0.627386
    3.04       0.634226       0.856135       0.494196       0.622913
    3.05         0.6301       0.851239       0.489128       0.618471
    3.06       0.626002       0.846372       0.484112       0.614061
    3.07        0.62193       0.841532       0.479147       0.609683
    3.08       0.617884        0.83672       0.474233       0.605336
    3.09       0.613865       0.831936       0.469369       0.601019
     3.1       0.609872       0.827178       0.464555       0.596734
    3.11       0.605905       0.822448       0.459791       0.592479
    3.12       0.601964       0.817746       0.455076       0.588255
    3.13       0.598048        0.81307       0.450409        0.58406
    3.14       0.594158        0.80842       0.445789       0.579896
    3.15       0.590293       0.803798       0.441218       0.575761
    3.16       0.586453       0.799201       0.436693       0.571655
    3.17       0.582638       0.794631       0.432214       0.567579
    3.18       0.578848       0.790088       0.427781       0.563532
    3.19       0.575083        0.78557       0.423394       0.559514
     3.2       0.571342       0.781078       0.419052       0.555525
    3.21       0.567626       0.776611       0.414754       0.551564
    3.22       0.563933       0.772171       0.410501       0.547631
    3.23       0.560265       0.767755       0.406291       0.543726
    3.24       0.556621       0.763365       0.402124       0.539849
    3.25          0.553          0.759          0.398          0.536
    3.26       0.548654       0.753934        0.39498       0.531737
    3.27       0.544342       0.748902       0.391984       0.527508
    3.28       0.540063       0.743904        0.38901       0.523312
    3.29       0.535819       0.738939       0.386059        0.51915
     3.3       0.531608       0.734007        0.38313       0.515021
    3.31        0.52743       0.729108       0.380223       0.510924
    3.32       0.523284       0.724242       0.377338       0.506861
    3.33       0.519172       0.719409       0.374475       0.502829
    3.34       0.515091       0.714607       0.371634        0.49883
