# Fission Isotope Spectra
#  U235, Pu239, Pu241: Log-linear Interpolation of reported ILL spectra
#  U238: Log-linear Interpolation of Muller's spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    3.01       0.632616       0.870991       0.486844       0.618513
    3.02       0.628263        0.86601       0.482723       0.614058
    3.03       0.623939       0.861058       0.478637       0.609635
    3.04       0.619646       0.856135       0.474586       0.605244
    3.05       0.615382       0.851239       0.470569       0.600885
    3.06       0.611147       0.846372       0.466586       0.596557
    3.07       0.606941       0.841532       0.462637        0.59226
    3.08       0.602764        0.83672       0.458721       0.587994
    3.09       0.598616       0.831936       0.454838       0.583759
     3.1       0.594497       0.827178       0.450988       0.579554
    3.11       0.590406       0.822448       0.447171        0.57538
    3.12       0.586343       0.817746       0.443386       0.571236
    3.13       0.582308        0.81307       0.439633       0.567121
    3.14       0.578301        0.80842       0.435912       0.563037
    3.15       0.574321       0.803798       0.432222       0.558981
    3.16       0.570369       0.799201       0.428564       0.554955
    3.17       0.566444       0.794631       0.424936       0.550958
    3.18       0.562546       0.790088       0.421339        0.54699
    3.19       0.558674        0.78557       0.417773        0.54305
     3.2        0.55483       0.781078       0.414237       0.539138
    3.21       0.551012       0.776611       0.410731       0.535255
    3.22        0.54722       0.772171       0.407254         0.5314
    3.23       0.543454       0.767755       0.403807       0.527572
    3.24       0.539714       0.763365       0.400389       0.523773
    3.25          0.536          0.759          0.397           0.52
    3.26        0.53164       0.753934       0.393442       0.515577
    3.27       0.527315       0.748902       0.389917       0.511191
    3.28       0.523025       0.743904       0.386423       0.506842
    3.29       0.518771       0.738939        0.38296       0.502531
     3.3       0.514551       0.734007       0.379528       0.498256
    3.31       0.510365       0.729108       0.376127       0.494018
    3.32       0.506213       0.724242       0.372757       0.489815
    3.33       0.502095       0.719409       0.369417       0.485648
    3.34       0.498011       0.714607       0.366106       0.481517
    3.35        0.49396       0.709838       0.362826       0.477421
    3.36       0.489941         0.7051       0.359574        0.47336
    3.37       0.485956       0.700394       0.356352       0.469333
    3.38       0.482003        0.69572       0.353159       0.465341
    3.39       0.478082       0.691076       0.349994       0.461382
     3.4       0.474193       0.686464       0.346858       0.457458
