# Fission Isotope Spectra
#  U235, Pu239, Pu241: Interpolation of reported ILL spectra
#  U238: Interpolation of Vogel's spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    3.01       0.632616         0.7551       0.486844       0.618513
    3.02       0.628263       0.750232       0.482723       0.614058
    3.03       0.623939       0.745395       0.478637       0.609635
    3.04       0.619646       0.740589       0.474586       0.605244
    3.05       0.615382       0.735815       0.470569       0.600885
    3.06       0.611147       0.731071       0.466586       0.596557
    3.07       0.606941       0.726358       0.462637        0.59226
    3.08       0.602764       0.721675       0.458721       0.587994
    3.09       0.598616       0.717022       0.454838       0.583759
     3.1       0.594497       0.712399       0.450988       0.579554
    3.11       0.590406       0.707806       0.447171        0.57538
    3.12       0.586343       0.703243       0.443386       0.571236
    3.13       0.582308       0.698709       0.439633       0.567121
    3.14       0.578301       0.694204       0.435912       0.563037
    3.15       0.574321       0.689729       0.432222       0.558981
    3.16       0.570369       0.685282       0.428564       0.554955
    3.17       0.566444       0.680864       0.424936       0.550958
    3.18       0.562546       0.676474       0.421339        0.54699
    3.19       0.558674       0.672113       0.417773        0.54305
     3.2        0.55483        0.66778       0.414237       0.539138
    3.21       0.551012       0.663474       0.410731       0.535255
    3.22        0.54722       0.659197       0.407254         0.5314
    3.23       0.543454       0.654947       0.403807       0.527572
    3.24       0.539714       0.650725       0.400389       0.523773
    3.25          0.536       0.646529          0.397           0.52
    3.26        0.53164       0.642361       0.393442       0.515577
    3.27       0.527315        0.63822       0.389917       0.511191
    3.28       0.523025       0.634105       0.386423       0.506842
    3.29       0.518771       0.630017        0.38296       0.502531
     3.3       0.514551       0.625955       0.379528       0.498256
    3.31       0.510365       0.621919       0.376127       0.494018
    3.32       0.506213        0.61791       0.372757       0.489815
    3.33       0.502095       0.613926       0.369417       0.485648
    3.34       0.498011       0.609968       0.366106       0.481517
    3.35        0.49396       0.606035       0.362826       0.477421
    3.36       0.489941       0.602128       0.359574        0.47336
    3.37       0.485956       0.598246       0.356352       0.469333
    3.38       0.482003       0.594389       0.353159       0.465341
    3.39       0.478082       0.590557       0.349994       0.461382
     3.4       0.474193        0.58675       0.346858       0.457458
    3.41       0.470335       0.582967        0.34375       0.453566
    3.42       0.466509       0.579208        0.34067       0.449708
    3.43       0.462714       0.575474       0.337617       0.445882
    3.44        0.45895       0.571764       0.334591        0.44209
    3.45       0.455217       0.568078       0.331593       0.438329
    3.46       0.451514       0.564415       0.328622         0.4346
    3.47       0.447841       0.560776       0.325677       0.430903
    3.48       0.444197       0.557161       0.322759       0.427238
    3.49       0.440584       0.553569       0.319866       0.423603
     3.5          0.437           0.55          0.317           0.42
    3.51       0.433235       0.546119       0.313903       0.416168
    3.52       0.429503       0.542265       0.310836       0.412372
    3.53       0.425803       0.538439       0.307798        0.40861
    3.54       0.422135       0.534639       0.304791       0.404882
    3.55       0.418498       0.530866       0.301813       0.401189
    3.56       0.414893        0.52712       0.298864       0.397529
    3.57       0.411319       0.523401       0.295944       0.393902
    3.58       0.407775       0.519707       0.293052       0.390309
    3.59       0.404263        0.51604       0.290189       0.386748
     3.6        0.40078       0.512398       0.287353        0.38322
    3.61       0.397327       0.508782       0.284546       0.379724
    3.62       0.393904       0.505192       0.281765        0.37626
    3.63       0.390511       0.501627       0.279012       0.372827
    3.64       0.387147       0.498087       0.276286       0.369426
    3.65       0.383812       0.494573       0.273587       0.366056
    3.66       0.380505       0.491083       0.270913       0.362717
    3.67       0.377227       0.487617       0.268266       0.359408
    3.68       0.373978       0.484176       0.265645       0.356129
    3.69       0.370756        0.48076        0.26305        0.35288
     3.7       0.367562       0.477367       0.260479       0.349661
    3.71       0.364395       0.473999       0.257934       0.346471
    3.72       0.361256       0.470654       0.255414        0.34331
    3.73       0.358144       0.467333       0.252918       0.340178
    3.74       0.355059       0.464035       0.250447       0.337075
    3.75          0.352        0.46076          0.248          0.334
    3.76       0.348941       0.457509       0.245371        0.33117
    3.77       0.345909        0.45428        0.24277       0.328364
