0	1	31676.46
0	2	30845.28
0	3	32676.395
1	1	85494.86
1	2	84674.25
1	3	86385.19
2	1	83406.04
2	2	82687.34
2	3	83041.08
3	1	85701.984
3	2	86804.266
3	3	86150.67
4	1	85362.516
4	2	85460.61
4	3	85875.11
5	1	86281.3
5	2	85710.44
5	3	86450.766
6	1	54011.746
6	2	55661.242
6	3	53696.953
7	1	86155.78
7	2	85421.22
7	3	86727.164
8	1	86583.984
8	2	86673.77
8	3	85792.02
9	1	85514.31
9	2	85797.95
9	3	85988.04
10	1	85034.36
10	2	85649.97
10	3	85389.234
11	1	86495.69
11	2	87009.86
11	3	85802.29
12	1	83700.26
12	2	84076.516
12	3	84011.65
13	1	53143.688
13	2	54035.906
13	3	54414.62
14	1	84587.055
14	2	84901.87
14	3	86451.05
15	1	84087.21
15	2	84823.984
15	3	84132.03
16	1	85334.78
16	2	86246.58
16	3	84662.31
17	1	76623.21
17	2	77074.79
17	3	76331.44
18	1	86450.94
18	2	86415.84
18	3	86699.83
19	1	69479.31
19	2	70367.86
19	3	67914.16
20	1	66882.66
20	2	67980.96
20	3	65014.938
21	1	57231.78
21	2	60258.152
21	3	60439.06
22	1	86390.74
22	2	86390.99
22	3	86929.836
23	1	59354.676
23	2	58785.207
23	3	59002.33
24	1	74421.37
24	2	74404.34
24	3	72859.07
25	1	46452.055
25	2	47303.93
25	3	44772.58
26	1	54437.273
26	2	52957.02
26	3	54537.71
27	1	44696.33
27	2	47283.566
27	3	42766.344
28	1	69280.375
28	2	68274.58
28	3	64117.57
29	1	78266.4
29	2	78253.86
29	3	76519.266
30	1	78730.99
30	2	79830.46
30	3	78747.73
31	1	85558.5
31	2	87003.2
31	3	83719.625
32	1	84986.12
32	2	85851.03
32	3	85504.664
33	1	84146.61
33	2	84399.36
33	3	82198.54
34	1	81680.78
34	2	83657.195
34	3	82476.266
35	1	55463.19
35	2	57063.55
35	3	55778.14
36	1	75002.414
36	2	75179.914
36	3	74167.81
37	1	73628.89
37	2	73828.87
37	3	74158.625
38	1	78333.836
38	2	78210.266
38	3	79207.75
39	1	84785.81
39	2	85803.29
39	3	85801.26
40	1	86288.805
40	2	86709.51
40	3	85150.91
41	1	62825.035
41	2	62522.13
41	3	63554.906
42	1	85909.125
42	2	86213.41
42	3	86139.35
43	1	86148.73
43	2	85723.59
43	3	85148.45
44	1	60497.04
44	2	61962.867
44	3	62087.008
45	1	85550.88
45	2	85848.41
45	3	85134.75
46	1	82806.88
46	2	81670.58
46	3	84257.35
47	1	86211.62
47	2	86351.0
47	3	86419.414
48	1	57053.496
48	2	56778.348
48	3	56197.54
49	1	86092.85
49	2	86203.836
49	3	85752.42
50	1	86154.945
50	2	86190.5
50	3	86415.41
51	1	81610.41
51	2	81670.625
51	3	81807.39
52	1	85234.234
52	2	85948.34
52	3	83715.76
53	1	84958.09
53	2	85564.64
53	3	86005.69
54	1	86625.73
54	2	87097.39
54	3	86418.836
55	1	56321.875
55	2	56489.5
55	3	56926.74
56	1	74526.32
56	2	76178.984
56	3	74109.664
57	1	85826.67
57	2	86188.66
57	3	86448.28
58	1	85473.85
58	2	84907.08
58	3	86037.2
59	1	85464.16
59	2	85165.81
59	3	85415.44
60	1	85490.25
60	2	86351.25
60	3	86014.664
61	1	86089.56
61	2	85034.98
61	3	86417.17
62	1	58416.406
62	2	58696.055
62	3	58195.777
63	1	85399.92
63	2	86217.02
63	3	85873.695
64	1	86769.87
64	2	86316.42
64	3	86424.95
65	1	83278.01
65	2	84743.75
65	3	82441.71
66	1	86346.33
66	2	86145.09
66	3	86414.45
67	1	85782.15
67	2	86191.64
67	3	86332.08
68	1	86315.54
68	2	85078.31
68	3	86414.2
69	1	61945.74
69	2	62306.85
69	3	61669.01
70	1	85865.195
70	2	85618.05
70	3	86196.77
71	1	85725.1
71	2	86199.39
71	3	86422.19
72	1	85210.625
72	2	85289.836
72	3	86005.1
73	1	85788.7
73	2	87233.15
73	3	85114.18
74	1	85736.22
74	2	85358.89
74	3	86326.72
75	1	80670.08
75	2	81258.34
75	3	79539.125
76	1	52384.6
76	2	53817.76
76	3	52567.94
77	1	84807.92
77	2	85461.56
77	3	86328.23
78	1	86687.13
78	2	87330.984
78	3	86429.61
79	1	84399.93
79	2	85133.336
79	3	85060.22
80	1	84056.66
80	2	83068.695
80	3	83777.79
81	1	82162.34
81	2	83310.64
81	3	85982.86
82	1	85762.73
82	2	86067.83
82	3	86417.51
